raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"18. Kommenda M, Burlacu B, Kronberger G, Affenzeller M. Parameter identification for symbolic regression using nonlinear least squares. Genet Program Evolvable Mach. 2019;21(3):471-501. https://doi.org/10.1007/s10710-019-09371-3",journal_article,Parameter identification for symbolic regression using nonlinear least squares,Kommenda M | Burlacu B | Kronberger G | Affenzeller M,2019,Genet Program Evolvable Mach,21,3,471-501,10.1007/s10710-019-09371-3,,,,,
"19. Ballesteros M, Polyakov A, Efimov D, Chairez I, Poznyak AS. Non-parametric identification of homogeneous dynamical systems. Automatica. 2021;129:109600. https://doi.org/10.1016/j.automatica.2021.109600",journal_article,Non-parametric identification of homogeneous dynamical systems,Ballesteros M | Polyakov A | Efimov D | Chairez I | Poznyak AS,2021,Automatica,129,,109600,10.1016/j.automatica.2021.109600,,,,,
"20. Bhowmik B, Tripura T, Hazra B, Pakrashi V. Real time structural modal identification using recursive canonical correlation analysis and application towards online structural damage detection. J Sound Vib. 2020;468:115101. https://doi.org/10.1016/j.jsv.2019.115101",journal_article,Real time structural modal identification using recursive canonical correlation analysis and application towards online structural damage detection,Bhowmik B | Tripura T | Hazra B | Pakrashi V,2020,J Sound Vib,468,,115101,10.1016/j.jsv.2019.115101,,,,,
"21. Gedon D, Wahlström N, Schön TB, Ljung L. Deep state space models for nonlinear system identification. IFAC-PapersOnLine. 2021;54(7):481-6. https://doi.org/10.1016/j.ifacol.2021.08.406",journal_article,Deep state space models for nonlinear system identification,Gedon D | Wahlström N | Schön TB | Ljung L,2021,IFAC-PapersOnLine,54,7,481-6,10.1016/j.ifacol.2021.08.406,,,,,
22. Jansson M. Subspace identification and ARX modeling. IFAC Proc Vol. 2003;36(16):1585-90. https://doi.org/10.1016/s1474-6670(17)34986-8,journal_article,Subspace identification and ARX modeling,Jansson M,2003,IFAC Proc Vol,36,16,1585-90,10.1016/s1474-6670(17)34986-8,,,,,
23. Vidal R. Recursive identification of switched ARX systems. Automatica. 2008;44(9):2274-87. https://doi.org/10.1016/j.automatica.2008.01.025,journal_article,Recursive identification of switched ARX systems,Vidal R,2008,Automatica,44,9,2274-87,10.1016/j.automatica.2008.01.025,,,,,
"24. Piroddi L, Spinelli W. An identification algorithm for polynomial NARX models based on simulation error minimization. Int J Control. 2003;76(17):1767-81. https://doi.org/10.1080/00207170310001635419",journal_article,An identification algorithm for polynomial NARX models based on simulation error minimization,Piroddi L | Spinelli W,2003,Int J Control,76,17,1767-81,10.1080/00207170310001635419,,,,,
"25. Moonen M, De Moor B, Vandenberghe L, Vandewalle J. On- and off-line identification of linear state-space models. Int J Control. 1989;49(1):219-32. https://doi.org/10.1080/00207178908559631",journal_article,On- and off-line identification of linear state-space models,Moonen M | De Moor B | Vandenberghe L | Vandewalle J,1989,Int J Control,49,1,219-32,10.1080/00207178908559631,,,,,
"26. Schön TB, Wills A, Ninness B. System identification of nonlinear state-space models. Automatica. 2011;47(1):39-49. https://doi.org/10.1016/j.automatica.2010.10.013",journal_article,System identification of nonlinear state-space models,Schön TB | Wills A | Ninness B,2011,Automatica,47,1,39-49,10.1016/j.automatica.2010.10.013,,,,,
"27. Adigintla S, Aware MV, Arun N. Fractional order transfer function identification of six-phase induction motor using dual-chirp signal. IEEE J Emerg Sel Topics Power Electron. 2023;11(5):5183-94. https://doi.org/10.1109/jestpe.2023.3296904",journal_article,Fractional order transfer function identification of six-phase induction motor using dual-chirp signal,Adigintla S | Aware MV | Arun N,2023,IEEE J Emerg Sel Topics Power Electron,11,5,5183-94,10.1109/jestpe.2023.3296904,,,,,
"28. Hachino T, Takata H. Identification of continuous-time nonlinear systems by using a Gaussian process model. IEEJ Trans Electr Electron Eng. 2008;3(6):620-8. https://doi.org/10.1002/tee.20323",journal_article,Identification of continuous-time nonlinear systems by using a Gaussian process model,Hachino T | Takata H,2008,IEEJ Trans Electr Electron Eng,3,6,620-8,10.1002/tee.20323,,,,,
29. Liu GP. Nonlinear identification and control: a neural network approach. Springer Science & Business Media; 2012.,book,Nonlinear identification and control: a neural network approach,Liu GP,2012,,,,,,,,Springer Science & Business Media,,
"30. Elisei-Iliescu C, Dogariu L-M, Paleologu C, Benesty J, Enescu A-A, Ciochină S. A Recursive least-squares algorithm for the identification of trilinear forms. Algorithms. 2020;13(6):135. https://doi.org/10.3390/a13060135",journal_article,A Recursive least-squares algorithm for the identification of trilinear forms,Elisei-Iliescu C | Dogariu L-M | Paleologu C | Benesty J | Enescu A-A | Ciochină S,2020,Algorithms,13,6,135,10.3390/a13060135,,,,,
"31. Long B, Zhu Z, Yang W, Chong KT, Rodriguez J, Guerrero JM. Gradient descent optimization based parameter identification for FCS-MPC control of LCL-type grid connected converter. IEEE Trans Ind Electron. 2022;69(3):2631-43. https://doi.org/10.1109/tie.2021.3063867",journal_article,Gradient descent optimization based parameter identification for FCS-MPC control of LCL-type grid connected converter,Long B | Zhu Z | Yang W | Chong KT | Rodriguez J | Guerrero JM,2022,IEEE Trans Ind Electron,69,3,2631-43,10.1109/tie.2021.3063867,,,,,
"32. Yang B, Zeng C, Wang L, Guo Y, Chen G, Guo Z, et al. Parameter identification of proton exchange membrane fuel cell via Levenberg-Marquardt backpropagation algorithm. Int J Hydrogen Energy. 2021;46(44):22998-3012. https://doi.org/10.1016/j.ijhydene.2021.04.130",journal_article,Parameter identification of proton exchange membrane fuel cell via Levenberg-Marquardt backpropagation algorithm,Yang B | Zeng C | Wang L | Guo Y | Chen G | Guo Z,2021,Int J Hydrogen Energy,46,44,22998-3012,10.1016/j.ijhydene.2021.04.130,,,,,
"33. Rezk H, Olabi AG, Wilberforce T, Sayed ET. A comprehensive review and application of metaheuristics in solving the optimal parameter identification problems. Sustainability. 2023;15(7):5732. https://doi.org/10.3390/su15075732",journal_article,A comprehensive review and application of metaheuristics in solving the optimal parameter identification problems,Rezk H | Olabi AG | Wilberforce T | Sayed ET,2023,Sustainability,15,7,5732,10.3390/su15075732,,,,,
"34. Sachan S, Swarnkar P. Intelligent fractional-order sliding mode optimised control of surgical manipulator for healthcare system. Electr Eng. 2023;106(2):2131-42. https://doi.org/10.1007/s00202-023-02052-6",journal_article,Intelligent fractional-order sliding mode optimised control of surgical manipulator for healthcare system,Sachan S | Swarnkar P,2023,Electr Eng,106,2,2131-42,10.1007/s00202-023-02052-6,,,,,
"35. Sreekanth N, Dinesan A, Nair AR, Udupa G, Tirumaladass V. Design of robotic manipulator for space applications. Mater Today Proc. 2021;46:4962-70. https://doi.org/10.1016/j.matpr.2020.10.382",journal_article,Design of robotic manipulator for space applications,Sreekanth N | Dinesan A | Nair AR | Udupa G | Tirumaladass V,2021,Mater Today Proc,46,,4962-70,10.1016/j.matpr.2020.10.382,,,,,
36. Yu D. Kinematic parameter identification for a parallel robot with an improved particle swarm optimization algorithm. Appl Sci. 2024;14(15):6557. https://doi.org/10.3390/app14156557,journal_article,Kinematic parameter identification for a parallel robot with an improved particle swarm optimization algorithm,Yu D,2024,Appl Sci,14,15,6557,10.3390/app14156557,,,,,
"37. Lo W-L, Chung HS-H, Hsung RT-C, Fu H, Shen T-W. PV panel model parameter estimation by using particle swarm optimization and artificial neural network. Sensors (Basel). 2024;24(10):3006. https://doi.org/10.3390/s24103006PMID: 38793862",journal_article,PV panel model parameter estimation by using particle swarm optimization and artificial neural network,Lo W-L | Chung HS-H | Hsung RT-C | Fu H | Shen T-W,2024,Sensors (Basel),24,10,3006,10.3390/s24103006,,,,,
"38. Mellit A, Benghanem M, Kalogirou SA. Modeling and simulation of a stand-alone photovoltaic system using an adaptive artificial neural network: proposition for a new sizing procedure. Renew Energy. 2007;32(2):285-313. https://doi.org/10.1016/j.renene.2006.01.002",journal_article,Modeling and simulation of a stand-alone photovoltaic system using an adaptive artificial neural network: proposition for a new sizing procedure,Mellit A | Benghanem M | Kalogirou SA,2007,Renew Energy,32,2,285-313,10.1016/j.renene.2006.01.002,,,,,
"39. Kennedy J, Eberhart R. Particle swarm optimization. In: Proceedings of ICNN’95 - International Conference on Neural Networks, vol. 4. IEEE; 1995, pp. 1942-8. https://doi.org/10.1109/icnn.1995.488968",conference_paper,Particle swarm optimization,Kennedy J | Eberhart R,1995,,4,,1942-8,10.1109/icnn.1995.488968,,Proceedings of ICNN’95 - International Conference on Neural Networks,IEEE,,
"40. Martinelli C, Coraddu A, Cammarano A. Experimental parameter identification of nonlinear mechanical systems via meta-heuristic optimisation methods. In: Society for Experimental Mechanics Annual Conference and Exposition. Springer; 2023, pp. 215-23.",conference_paper,Experimental parameter identification of nonlinear mechanical systems via meta-heuristic optimisation methods,Martinelli C | Coraddu A | Cammarano A,2023,,,,215-23,,,Society for Experimental Mechanics Annual Conference and Exposition,Springer,,
41. Holland JH. Genetic algorithms. Sci Am. 1992;267(1):66-72. https://doi.org/10.1038/scientificamerican0792-66,journal_article,Genetic algorithms,Holland JH,1992,Sci Am,267,1,66-72,10.1038/scientificamerican0792-66,,,,,
"42. Karahan O, Karci H. Swarm intelligence based nonlinear friction and dynamic parameters identification for a 6-DOF robotic manipulator. J Intell Robot Syst. 2023;108(2). https://doi.org/10.1007/s10846-023-01868-5",journal_article,Swarm intelligence based nonlinear friction and dynamic parameters identification for a 6-DOF robotic manipulator,Karahan O | Karci H,2023,J Intell Robot Syst,108,2,,10.1007/s10846-023-01868-5,,,,,
"43. Yang XS, Deb S. Cuckoo search via Lévy flights. In: 2009 World Congress on Nature & Biologically Inspired Computing (NaBIC). IEEE; 2009, pp. 210-4.",conference_paper,Cuckoo search via Lévy flights,Yang XS | Deb S,2009,,,,210-4,,,2009 World Congress on Nature & Biologically Inspired Computing (NaBIC),IEEE,,
"44. Mirjalili S, Mirjalili SM, Lewis A. Grey wolf optimizer. Adv Eng Softw. 2014;69:46-61. https://doi.org/10.1016/j.advengsoft.2013.12.007",journal_article,Grey wolf optimizer,Mirjalili S | Mirjalili SM | Lewis A,2014,Adv Eng Softw,69,,46-61,10.1016/j.advengsoft.2013.12.007,,,,,
"45. Şenel FA, Gökçe F, Yüksel AS, Yiğit T. A novel hybrid PSO-GWO algorithm for optimization problems. Eng Comput. 2018;35(4):1359-73. https://doi.org/10.1007/s00366-018-0668-5",journal_article,A novel hybrid PSO-GWO algorithm for optimization problems,Şenel FA | Gökçe F | Yüksel AS | Yiğit T,2018,Eng Comput,35,4,1359-73,10.1007/s00366-018-0668-5,,,,,
"46. Rodríguez-Abreo O, Rodríguez-Reséndiz J, Álvarez-Alvarado JM, García-Cerezo A. Metaheuristic parameter identification of motors using dynamic response relations. Sensors (Basel). 2022;22(11):4050. https://doi.org/10.3390/s22114050PMID: 35684670",journal_article,Metaheuristic parameter identification of motors using dynamic response relations,Rodríguez-Abreo O | Rodríguez-Reséndiz J | Álvarez-Alvarado JM | García-Cerezo A,2022,Sensors (Basel),22,11,4050,10.3390/s22114050,,,,,
"47. Pandey HM. Jaya a novel optimization algorithm: What, how and why? In: 2016 6th International Conference - Cloud System and Big Data Engineering (Confluence). IEEE; 2016, pp. 728-30. https://doi.org/10.1109/confluence.2016.7508215",conference_paper,"Jaya a novel optimization algorithm: What, how and why?",Pandey HM,2016,,,,728-30,10.1109/confluence.2016.7508215,,2016 6th International Conference - Cloud System and Big Data Engineering (Confluence),IEEE,,
"48. Yu X, Wu X, Luo W. Parameter identification of photovoltaic models by hybrid adaptive JAYA algorithm. Mathematics. 2022;10(2):183. https://doi.org/10.3390/math10020183",journal_article,Parameter identification of photovoltaic models by hybrid adaptive JAYA algorithm,Yu X | Wu X | Luo W,2022,Mathematics,10,2,183,10.3390/math10020183,,,,,
"49. Danaci M, Koylu F, Al-Sumaidaee ZA. Identification of dynamic models by using metaheuristic algorithms. ADI J Recent Innovation (AJRI). 2021;3(1):36-58. https://doi.org/10.34306/ajri.v3i1.492",journal_article,Identification of dynamic models by using metaheuristic algorithms,Danaci M | Koylu F | Al-Sumaidaee ZA,2021,ADI J Recent Innovation (AJRI),3,1,36-58,10.34306/ajri.v3i1.492,,,,,
50. Simon D. Biogeography-based optimization. IEEE Trans Evol Comput. 2008;12(6):702-13. https://doi.org/10.1109/tevc.2008.919004,journal_article,Biogeography-based optimization,Simon D,2008,IEEE Trans Evol Comput,12,6,702-13,10.1109/tevc.2008.919004,,,,,
"51. Dorigo M, Maniezzo V, Colorni A. Ant system: optimization by a colony of cooperating agents. IEEE Trans Syst Man Cybern B Cybern. 1996;26(1):29-41. https://doi.org/10.1109/3477.484436 PMID: 18263004",journal_article,Ant system: optimization by a colony of cooperating agents,Dorigo M | Maniezzo V | Colorni A,1996,IEEE Trans Syst Man Cybern B Cybern,26,1,29-41,10.1109/3477.484436,,,,,
"52. Karaboga D. An idea based on honey bee swarm for numerical optimization. Erciyes University, Engineering Faculty, Computer; 2005.",book,An idea based on honey bee swarm for numerical optimization,Karaboga D,2005,,,,,,,,"Erciyes University, Engineering Faculty, Computer",,
"53. Rodriguez-Abreo O, Hernandez-Paredes JM, Rangel AF, Fuentes-Silva C, Velasquez FAC. Parameter identification of motors by cuckoo search using steady-state relations. IEEE Access. 2021;9:72017-24. https://doi.org/10.1109/access.2021.3078578",journal_article,Parameter identification of motors by cuckoo search using steady-state relations,Rodriguez-Abreo O | Hernandez-Paredes JM | Rangel AF | Fuentes-Silva C | Velasquez FAC,2021,IEEE Access,9,,72017-24,10.1109/access.2021.3078578,,,,,
"54. Ghafil HN, Jármai K. Dynamic differential annealed optimization: new metaheuristic optimization algorithm for engineering applications. Appl Soft Comput. 2020;93:106392. https://doi.org/10.1016/j.asoc.2020.106392",journal_article,Dynamic differential annealed optimization: new metaheuristic optimization algorithm for engineering applications,Ghafil HN | Jármai K,2020,Appl Soft Comput,93,,106392,10.1016/j.asoc.2020.106392,,,,,
55. Aydilek İB. A hybrid firefly and particle swarm optimization algorithm for computationally expensive numerical problems. Appl Soft Comput. 2018;66:232-49. https://doi.org/10.1016/j.asoc.2018.02.025,journal_article,A hybrid firefly and particle swarm optimization algorithm for computationally expensive numerical problems,Aydilek İB,2018,Appl Soft Comput,66,,232-49,10.1016/j.asoc.2018.02.025,,,,,
56. Yang XS. Nature-inspired metaheuristic algorithms. Luniver Press; 2010.,book,Nature-inspired metaheuristic algorithms,Yang XS,2010,,,,,,,,Luniver Press,,
57. Mirjalili S. The ant lion optimizer. Adv Eng Softw. 2015;83:80-98. https://doi.org/10.1016/j.advengsoft.2015.01.010,journal_article,The ant lion optimizer,Mirjalili S,2015,Adv Eng Softw,83,,80-98,10.1016/j.advengsoft.2015.01.010,,,,,
"58. Heidari AA, Mirjalili S, Faris H, Aljarah I, Mafarja M, Chen H. Harris hawks optimization: algorithm and applications. Future Gener Comput Syst. 2019;97:849-72. https://doi.org/10.1016/j.future.2019.02.028",journal_article,Harris hawks optimization: algorithm and applications,Heidari AA | Mirjalili S | Faris H | Aljarah I | Mafarja M | Chen H,2019,Future Gener Comput Syst,97,,849-72,10.1016/j.future.2019.02.028,,,,,
"59. Arora S, Singh S. Butterfly optimization algorithm: a novel approach for global optimization. Soft Comput. 2018;23(3):715-34. https://doi.org/10.1007/s00500-018-3102-4",journal_article,Butterfly optimization algorithm: a novel approach for global optimization,Arora S | Singh S,2018,Soft Comput,23,3,715-34,10.1007/s00500-018-3102-4,,,,,
60. Mirjalili S. SCA: a sine cosine algorithm for solving optimization problems. Knowl-Based Syst. 2016;96:120-33. https://doi.org/10.1016/j.knosys.2015.12.022,journal_article,SCA: a sine cosine algorithm for solving optimization problems,Mirjalili S,2016,Knowl-Based Syst,96,,120-33,10.1016/j.knosys.2015.12.022,,,,,
"61. Mirjalili S, Lewis A. The whale optimization algorithm. Adv Eng Softw. 2016;95:51-67. https://doi.org/10.1016/j.advengsoft.2016.01.008",journal_article,The whale optimization algorithm,Mirjalili S | Lewis A,2016,Adv Eng Softw,95,,51-67,10.1016/j.advengsoft.2016.01.008,,,,,
"62. Alipour H, Abbaspour M, Esmaeili M, Mousavi H, Shahhoseini H. DACA: Dynamic Advanced Clustering Algorithm for Sensor Networks. In: 2007 14th IEEE International Conference on Electronics, Circuits and Systems. IEEE; 2007, pp. 518-25. https://doi.org/10.1109/icecs.2007.4511043",conference_paper,DACA: Dynamic Advanced Clustering Algorithm for Sensor Networks,Alipour H | Abbaspour M | Esmaeili M | Mousavi H | Shahhoseini H,2007,,,,518-25,10.1109/icecs.2007.4511043,,"2007 14th IEEE International Conference on Electronics, Circuits and Systems",IEEE,,
"63. Cuevas E, Gálvez J, Avalos O. Recent metaheuristics algorithms for parameter identification. Springer; 2020.",book,Recent metaheuristics algorithms for parameter identification,Cuevas E | Gálvez J | Avalos O,2020,,,,,,,,Springer,,
"64. Rashedi E, Nezamabadi-pour H, Saryazdi S. GSA: a gravitational search algorithm. Inf Sci. 2009;179(13):2232-48. https://doi.org/10.1016/j.ins.2009.03.004",journal_article,GSA: a gravitational search algorithm,Rashedi E | Nezamabadi-pour H | Saryazdi S,2009,Inf Sci,179,13,2232-48,10.1016/j.ins.2009.03.004,,,,,
"65. Storn R, Price K. Differential evolution-a simple and efficient heuristic for global optimization over continuous spaces. J Glob Optim. 1997;11(4):341-59. https://doi.org/10.1023/a:1008202821328",journal_article,Differential evolution-a simple and efficient heuristic for global optimization over continuous spaces,Storn R | Price K,1997,J Glob Optim,11,4,341-59,10.1023/a:1008202821328,,,,,
66. Askarzadeh A. A novel metaheuristic method for solving constrained engineering optimization problems: crow search algorithm. Comput Struct. 2016;169:1-12. https://doi.org/10.1016/j.compstruc.2016.03.001,journal_article,A novel metaheuristic method for solving constrained engineering optimization problems: crow search algorithm,Askarzadeh A,2016,Comput Struct,169,,1-12,10.1016/j.compstruc.2016.03.001,,,,,
"67. Liu Y, Hou Z, Wang H, Liang J, Yang G, Zhang Y, et al. Parameter identification of collaborative robot based on improved artificial fish swarm algorithm. In: 2020 International Conference on High Performance Big Data and Intelligent Systems (HPBD&IS). IEEE; 2020, pp. 1-7. https://doi.org/10.1109/hpbdis49115.2020.9130566",conference_paper,Parameter identification of collaborative robot based on improved artificial fish swarm algorithm,Liu Y | Hou Z | Wang H | Liang J | Yang G | Zhang Y | et al.,2020,2020 International Conference on High Performance Big Data and Intelligent Systems (HPBD&IS),,,1-7,10.1109/hpbdis49115.2020.9130566,,,IEEE,,
"68. Wang C, Zhou C, Ma J. An improved artificial fish-swarm algorithm and its application in feed-forward neural networks. In: 2005 International Conference on Machine Learning and Cybernetics. IEEE; 2005, pp. 2890-4.",conference_paper,An improved artificial fish-swarm algorithm and its application in feed-forward neural networks,Wang C | Zhou C | Ma J,2005,2005 International Conference on Machine Learning and Cybernetics,,,2890-4,,,,IEEE,,
"69. Wu Z, Shen D, Shang M, Qi S. Parameter identification of single-phase inverter based on improved moth flame optimization algorithm. Electr Power Compon Syst. 2019;47(4-5):456-69. https://doi.org/10.1080/15325008.2019.1607922",journal_article,Parameter identification of single-phase inverter based on improved moth flame optimization algorithm,Wu Z | Shen D | Shang M | Qi S,2019,Electr Power Compon Syst,47,4-5,456-69,10.1080/15325008.2019.1607922,,,,,
70. Mirjalili S. Moth-flame optimization algorithm: a novel nature-inspired heuristic paradigm. Knowl-Based Syst. 2015;89:228-49. https://doi.org/10.1016/j.knosys.2015.07.006,journal_article,Moth-flame optimization algorithm: a novel nature-inspired heuristic paradigm,Mirjalili S,2015,Knowl-Based Syst,89,,228-49,10.1016/j.knosys.2015.07.006,,,,,
"71. Urrea C, Pascal J. Design, simulation, comparison and evaluation of parameter identification methods for an industrial robot. Comput Electr Eng. 2018;67:791-806. https://doi.org/10.1016/j.compeleceng.2016.09.004",journal_article,"Design, simulation, comparison and evaluation of parameter identification methods for an industrial robot",Urrea C | Pascal J,2018,Comput Electr Eng,67,,791-806,10.1016/j.compeleceng.2016.09.004,,,,,
"72. Zheng Y, Liao Y. Parameter identification of nonlinear dynamic systems using an improved particle swarm optimization. Optik. 2016;127(19):7865-74. https://doi.org/10.1016/j.ijleo.2016.05.145",journal_article,Parameter identification of nonlinear dynamic systems using an improved particle swarm optimization,Zheng Y | Liao Y,2016,Optik,127,19,7865-74,10.1016/j.ijleo.2016.05.145,,,,,
